date,aclose,close,high,low,open,volume,swp01,swp02,swp03,swp04,swp05,swp06,swp07,swp08,swp09,swp10
2017-10-31,8840,9080,8830,8840,9080,181161,,,,,,,,,,
2017-11-01,9170,9170,8840,9170,8850,115335,,,,,,,,,,
2017-11-02,9100,9180,9030,9100,9170,68630,,,,,,,,,,
2017-11-03,9240,9270,9070,9240,9080,117255,,,,,,,,,,
2017-11-06,9490,9500,9270,9490,9300,369895,,,,,,,,,,
2017-11-07,9340,9530,9260,9340,9500,166998,,,,,,,,,,
2017-11-08,9540,9700,9310,9540,9310,520859,,,,,,,,,,
2017-11-09,9830,9900,9630,9830,9770,540600,,,,,,,,,,
2017-11-10,10150,10250,9790,10150,9820,402076,,,,,,,,,,
2017-11-13,10600,10650,10150,10600,10250,460926,exit,exit,exit,exit,exit,exit,exit,exit,exit,exit
2017-11-14,11100,11200,10700,11100,10800,732027,enter,enter,enter,enter,enter,enter,enter,enter,enter,enter
2017-11-15,10800,11250,10650,10800,10950,726653,,,,,,,,,,
2017-11-16,10800,11200,10350,10800,10850,379162,,,,,,,,,,
2017-11-17,11250,11450,10700,11250,10800,595862,,,,,,,,,,
2017-11-20,11500,11550,11100,11500,11200,397187,,,,,,,,,,
2017-11-21,11250,11500,11200,11250,11400,256717,,,,,,,,,,
2017-11-22,11100,11400,10850,11100,11300,348354,,,,,,,,,,
2017-11-23,11150,11350,10800,11150,11050,282817,,,,,,,,,,
2017-11-24,10900,11250,10800,10900,11200,296010,,,,,,,,,,
2017-11-27,11000,11100,10650,11000,10900,205062,,,,,,,,,,
2017-11-28,10750,11050,10700,10750,10950,146968,,,,,,,,,,
2017-11-29,10750,10950,10600,10750,10800,196725,,,,,,,,,,
2017-11-30,10300,10800,10300,10300,10700,336283,,,,,,,,,,
2017-12-01,10550,10650,10350,10550,10450,216633,,,,,,,,,,
2017-12-04,10350,10750,10250,10350,10600,228353,,,,,,,,,,
2017-12-05,10300,10400,10100,10300,10300,184698,,,,,,,,,,
2017-12-06,10250,10500,10100,10250,10300,155578,,,,,,,,,,
2017-12-07,9800,10250,9770,9800,10200,329528,,,,,,,,,,
2017-12-08,9760,9930,9740,9760,9850,124909,,,,,,,,,,
2017-12-11,9930,9930,9740,9930,9760,86535,,,,,,,,,,
2017-12-12,9830,10050,9780,9830,9980,137399,,,,,,,,,,
2017-12-13,9830,9960,9750,9830,9830,171879,,,,,,,,,,
2017-12-14,9850,9910,9800,9850,9910,153404,exit,exit,exit,exit,exit,exit,exit,exit,exit,exit
2017-12-15,9990,10100,9820,9990,9830,304468,,,,,,,,,,
2017-12-18,9710,10050,9690,9710,10000,254871,,,,,,,,,,
2017-12-19,9400,9710,9310,9400,9710,264554,,,,,,,,,,
2017-12-20,9490,9620,9340,9490,9360,165736,,,,,,,,,,
2017-12-21,9320,9560,9290,9320,9560,125390,,,,,,,,,,
2017-12-22,9260,9370,9090,9260,9370,226274,,,,,,,,,,
2017-12-26,9370,9580,9280,9370,9350,215351,,,,,,,,,,
2017-12-27,9420,9470,9300,9420,9430,104946,,,,,,,,,,
2017-12-28,9750,9750,9510,9750,9580,155890,,,,,,,,,,
